episode,global_step,avg_reward,avg_deliveries,avg_ttfd,buffer_size,entropy_coef
10940,543511,0.42,0.42,12.09,100.0,0.00265471633798883
10950,544000,0.43,0.43,12.04,100.0,0.002648107743662821
10960,544486,0.4,0.4,11.79,100.0,0.0026415396928602857
10970,544947,0.36,0.36,11.83,100.0,0.0026353095047533526
10980,545438,0.34,0.34,12.11,100.0,0.0026286738814116943
10990,545924,0.35,0.35,11.96,100.0,0.0026221058306091583
11000,546412,0.35,0.35,11.89,100.0,0.0026155107507909734
11010,546900,0.34,0.34,11.9,100.0,0.0026089156709727885
11020,547369,0.32,0.32,11.84,100.0,0.002602577366803263
11030,547848,0.34,0.34,11.83,100.0,0.002596103917555495
11040,548344,0.32,0.32,11.72,100.0,0.002589400721674717
11050,548842,0.33,0.33,11.4,100.0,0.002582670496778291
11060,549326,0.33,0.33,11.13,100.0,0.002576129474991403
11070,549826,0.36,0.36,11.3,100.0,0.002569372221079328
11080,550318,0.4,0.4,11.42,100.0,0.002562723083229847
11090,550817,0.36,0.36,11.31,100.0,0.0025559793438255964
11100,551317,0.36,0.36,11.18,100.0,0.0025492220899135222
11110,551799,0.35,0.35,11.06,100.0,0.0025427080971422815
11120,552297,0.37,0.37,10.63,100.0,0.0025359778722458554
11130,552776,0.38,0.38,10.42,100.0,0.002529504422998088
11140,553276,0.44,0.44,10.9,100.0,0.002522747169086013
11150,553776,0.48,0.48,10.89,100.0,0.002515989915173939
11160,554259,0.49,0.49,10.54,100.0,0.0025094624078948746
11170,554740,0.47,0.47,10.36,100.0,0.002502961929631459
11180,555227,0.46,0.46,10.43,100.0,0.002496380364321098
11190,555726,0.46,0.46,10.32,100.0,0.0024896366249168474
11200,556210,0.45,0.45,10.5,100.0,0.0024830956031299594
11210,556705,0.43,0.43,10.49,100.0,0.002476405921757005
11220,557178,0.41,0.41,10.47,100.0,0.0024700135595561836
11230,557665,0.41,0.41,10.48,100.0,0.002463431994245823
11240,558165,0.35,0.35,10.57,100.0,0.0024566747403337473
11250,558652,0.32,0.32,10.38,100.0,0.002450093175023387
11260,559142,0.28,0.28,10.38,100.0,0.002443471066189554
11270,559642,0.3,0.3,10.0,100.0,0.002436713812277479
11280,560136,0.29,0.29,10.37,100.0,0.0024300376454123498
11290,560616,0.28,0.28,10.23,100.0,0.002423550681656758
11300,561115,0.3,0.3,9.95,100.0,0.0024168069422525074
11310,561596,0.35,0.35,10.05,100.0,0.002410306463989092
11320,562096,0.37,0.37,10.4,100.0,0.002403549210077016
11330,562578,0.36,0.36,10.54,100.0,0.002397035217305777
11340,563078,0.36,0.36,10.59,100.0,0.002390277963393702
11350,563569,0.32,0.32,10.65,100.0,0.0023836423400520456
11360,564068,0.36,0.36,10.63,100.0,0.002376898600647795
11370,564546,0.36,0.36,10.87,100.0,0.002370438665907852
11380,565044,0.36,0.36,11.09,100.0,0.0023637084410114253
11390,565544,0.39,0.39,11.05,100.0,0.002356951187099351
11400,566034,0.42,0.42,10.98,100.0,0.0023503290782655173
11410,566513,0.38,0.38,11.01,100.0,0.00234385562901775
11420,567003,0.37,0.37,11.12,100.0,0.002337233520183917
11430,567503,0.39,0.39,10.74,100.0,0.002330476266271842
11440,567979,0.4,0.4,10.89,100.0,0.002324043360547547
11450,568474,0.42,0.42,11.06,100.0,0.0023173536791745936
11460,568952,0.42,0.42,11.41,100.0,0.00231089374443465
11470,569446,0.41,0.41,11.17,100.0,0.00230421757756952
11480,569929,0.4,0.4,11.24,100.0,0.0022976900702904564
11490,570424,0.41,0.41,11.18,100.0,0.002291000388917502
11500,570924,0.39,0.39,11.12,100.0,0.002284243135005428
11510,571415,0.41,0.41,10.93,100.0,0.0022776075116637704
11520,571884,0.42,0.42,11.0,100.0,0.0022712692074942442
11530,572357,0.4,0.4,10.97,100.0,0.002264876845293421
11540,572852,0.42,0.42,11.16,100.0,0.0022581871639204684
11550,573352,0.44,0.44,11.06,100.0,0.0022514299100083934
11560,573832,0.45,0.45,11.44,100.0,0.0022449429462528016
11570,574321,0.44,0.44,11.48,100.0,0.002238334351926792
11580,574818,0.45,0.45,11.61,100.0,0.0022316176415381906
11590,575301,0.43,0.43,11.2,100.0,0.0022250901342591263
11600,575786,0.42,0.42,10.98,100.0,0.0022185355979644147
11610,576278,0.47,0.47,10.92,100.0,0.002211886460114933
11620,576770,0.49,0.49,10.96,100.0,0.002205237322265451
11630,577253,0.5,0.5,11.28,100.0,0.0021987098149863875
11640,577753,0.48,0.48,11.11,100.0,0.0021919525610743125
11650,578238,0.46,0.46,11.2,100.0,0.0021853980247796
11660,578717,0.45,0.45,11.14,100.0,0.0021789245755318327
11670,579191,0.45,0.45,11.18,100.0,0.002172518698823185
11680,579687,0.46,0.46,11.17,100.0,0.002165815502942408
11690,580184,0.44,0.44,11.13,100.0,0.0021590987925538055
11700,580684,0.45,0.45,11.32,100.0,0.0021523415386417322
11710,581184,0.46,0.46,11.0,100.0,0.0021455842847296555
11720,581659,0.42,0.42,11.17,100.0,0.002139164893513186
11730,582143,0.43,0.43,10.96,100.0,0.002132623871726297
11740,582631,0.42,0.42,11.05,100.0,0.0021260287919081123
11750,583121,0.44,0.44,11.21,100.0,0.00211940668307428
11760,583612,0.45,0.45,11.5,100.0,0.0021127710597326228
11770,584112,0.45,0.45,11.39,100.0,0.0021060138058205478
11780,584596,0.43,0.43,11.4,100.0,0.002099472784033659
11790,585086,0.47,0.47,11.41,100.0,0.002092850675199827
11800,585576,0.45,0.45,11.2,100.0,0.002086228566365993
11810,586044,0.41,0.41,10.82,100.0,0.0020799037767042904
11820,586544,0.46,0.46,11.18,100.0,0.002073146522792217
11830,587044,0.45,0.45,11.31,100.0,0.002066389268880142
11840,587526,0.46,0.46,11.34,100.0,0.0020598752761089023
11850,588024,0.43,0.43,11.38,100.0,0.0020531450512124762
11860,588510,0.4,0.4,11.45,100.0,0.0020465770004099403
11870,588988,0.41,0.41,11.74,100.0,0.0020401170656699965
11880,589453,0.41,0.41,11.86,100.0,0.0020338328195317664
11890,589953,0.4,0.4,11.36,100.0,0.002027075565619693
11900,590435,0.38,0.38,11.12,100.0,0.0020205615728484515
11910,590922,0.34,0.34,11.14,100.0,0.002013980007538092
11920,591409,0.28,0.28,11.16,100.0,0.0020073984422277306
11930,591880,0.27,0.27,11.21,100.0,0.0020010331090425573
11940,592350,0.26,0.26,11.09,100.0,0.0019946812903652057
11950,592849,0.27,0.27,11.09,100.0,0.001987937550960956
11960,593348,0.29,0.29,11.14,100.0,0.0019811938115567064
11970,593835,0.31,0.31,11.05,100.0,0.001974612246246345
11980,594335,0.36,0.36,10.92,100.0,0.00196785499233427
11990,594831,0.33,0.33,10.92,100.0,0.0019611517964534912
12000,595312,0.34,0.34,10.71,100.0,0.0019546513181900767
12010,595786,0.35,0.35,10.59,100.0,0.001948245441481429
12020,596286,0.35,0.35,10.55,100.0,0.001941488187569354
12030,596758,0.36,0.36,10.48,100.0,0.001935109339876357
12040,597254,0.36,0.36,10.69,100.0,0.0019284061439955782
12050,597725,0.35,0.35,10.49,100.0,0.0019220408108104048
12060,598223,0.34,0.34,10.53,100.0,0.001915310585913977
12070,598693,0.34,0.34,10.24,100.0,0.0019089587672366272
12080,599187,0.31,0.31,10.25,100.0,0.001902282600371499
12090,599660,0.3,0.3,10.17,100.0,0.001895890238170675
12100,600160,0.31,0.31,10.19,100.0,0.0018891329842586017
12110,600633,0.31,0.31,10.12,100.0,0.0018827406220577776
12120,601124,0.34,0.34,10.35,100.0,0.001876104998716122
12130,601609,0.35,0.35,10.65,100.0,0.0018695504624214078
12140,602108,0.37,0.37,10.3,100.0,0.0018628067230171581
12150,602579,0.39,0.39,10.34,100.0,0.0018564413898319847
12160,603059,0.39,0.39,10.29,100.0,0.001849954426076392
12170,603559,0.37,0.37,10.06,100.0,0.0018431971721643188
12180,604042,0.38,0.38,10.1,100.0,0.0018366696648852536
12190,604528,0.44,0.44,9.83,100.0,0.0018301016140827176
12200,605014,0.41,0.41,10.01,100.0,0.0018235335632801799
12210,605513,0.41,0.41,9.93,100.0,0.0018167898238759302
12220,606010,0.45,0.45,10.22,100.0,0.0018100731134873278
12230,606493,0.43,0.43,10.14,100.0,0.0018035456062082643
12240,606988,0.42,0.42,10.27,100.0,0.0017968559248353107
12250,607472,0.41,0.41,10.37,100.0,0.001790314903048422
12260,607972,0.41,0.41,10.32,100.0,0.001783557649136347
12270,608464,0.44,0.44,10.67,100.0,0.001776908511286866
12280,608941,0.43,0.43,10.64,100.0,0.0017704620910547458
12290,609420,0.4,0.4,10.77,100.0,0.0017639886418069784
12300,609897,0.43,0.43,10.91,100.0,0.00175754222157486
12310,610393,0.44,0.44,11.22,100.0,0.0017508390256940828
12320,610893,0.46,0.46,10.82,100.0,0.0017440817717820061
12330,611390,0.47,0.47,11.34,100.0,0.0017373650613934054
12340,611855,0.47,0.47,11.59,100.0,0.0017310808152551753
12350,612322,0.48,0.48,11.77,100.0,0.001724769540101298
12360,612814,0.49,0.49,11.99,100.0,0.001718120402251817
12370,613314,0.46,0.46,12.1,100.0,0.001711363148339742
12380,613808,0.45,0.45,12.04,100.0,0.001704686981474612
12390,614290,0.45,0.45,11.9,100.0,0.0016981729887033722
12400,614772,0.46,0.46,12.08,100.0,0.0016916589959321323
12410,615260,0.45,0.45,11.95,100.0,0.0016850639161139474
12420,615755,0.4,0.4,11.87,100.0,0.0016783742347409938
12430,616254,0.39,0.39,12.05,100.0,0.0016716304953367442
12440,616739,0.41,0.41,11.96,100.0,0.00166507595904203
12450,617239,0.4,0.4,11.85,100.0,0.0016583187051299568
